TagsConcatenated,ProjectName,AssigneeLogin,Complexity,EstimationError,SuccessGrade,IssueType,Summary,ReviewRefuses,TestRefuses,IdReadable
"Dotnet,React",Average project,Joe_Cobb,Middle,0.07,5,Feature,sample,0,0,AVG-057
React,Average project,Mark_Davis,Senior,0.03,5,Bug,sample,0,1,AVG-058
"Dotnet,Postgres",Average project,Mark_Davis,Middle,-0.09,5,Task,sample,1,0,AVG-059
DevOps,Average project,Rafael_Welch,Junior,0.05,5,Feature,sample,0,1,AVG-060
"Dotnet,Postgres",Average project,Dale_Marshall,Middle,-0.05,5,Feature,sample,0,0,AVG-061
Dotnet,Average project,James_Taylor,Junior,0.02,5,Bug,sample,0,0,AVG-062
DevOps,Average project,Joe_Cobb,Middle,-0.02,5,Task,sample,1,0,AVG-063
React,Average project,Dale_Marshall,Junior,0.05,5,Feature,sample,0,1,AVG-064
React,Average project,Mark_Davis,Middle,-0.01,5,Feature,sample,1,0,AVG-065
React,Average project,Dale_Marshall,Senior,0.02,5,Bug,sample,1,0,AVG-066
React,Average project,Adam_Lucas,Middle,0.05,5,Feature,sample,1,0,AVG-067
Dotnet,Average project,Adam_Lucas,Middle,-0.06,5,Bug,sample,1,0,AVG-068
"Dotnet,React",Average project,Adam_Lucas,Senior,-0.05,5,Feature,sample,1,0,AVG-069
React,Average project,Mark_Davis,Middle,0.06,5,Task,sample,0,0,AVG-070
"Dotnet,Postgres",Average project,Mark_Davis,Senior,-0.01,5,Bug,sample,0,1,AVG-071
React,Average project,Adam_Lucas,Junior,0.02,5,Task,sample,0,0,AVG-072
Dotnet,Average project,Joe_Cobb,Middle,0.05,5,Feature,sample,1,0,AVG-073
Dotnet,Average project,Rafael_Welch,Middle,-0.09,5,Feature,sample,0,0,AVG-074
React,Average project,Ron_Alexander,Junior,-0.03,5,Task,sample,0,1,AVG-075
Dotnet,Average project,Ron_Alexander,Middle,-0.06,5,Feature,sample,0,1,AVG-076
React,Average project,James_Taylor,Middle,-0.01,5,Feature,sample,1,0,AVG-077
"Dotnet,Postgres",Average project,James_Taylor,Junior,0.03,5,Task,sample,1,0,AVG-078
DevOps,Average project,Dale_Marshall,Junior,0.05,5,Feature,sample,0,1,AVG-079
Dotnet,Average project,Rafael_Welch,Junior,0.01,5,Feature,sample,1,0,AVG-080
React,Average project,Rafael_Welch,Senior,-0.09,5,Bug,sample,0,1,AVG-081
React,Average project,James_Taylor,Middle,-0.08,5,Feature,sample,0,1,AVG-082
React,Average project,Mark_Davis,Junior,0.02,5,Bug,sample,0,1,AVG-083
"Dotnet,Postgres",Average project,Mark_Davis,Middle,0.09,5,Task,sample,1,0,AVG-084
Dotnet,Average project,Ron_Alexander,Middle,-0.03,5,Feature,sample,1,0,AVG-085
"Dotnet,Postgres",Average project,Rafael_Welch,Middle,-0.04,5,Feature,sample,1,0,AVG-086
"Dotnet,Postgres",Average project,Mark_Davis,Middle,-0.03,5,Bug,sample,1,0,AVG-087
Dotnet,Average project,Ron_Alexander,Senior,-0.02,5,Bug,sample,0,0,AVG-088
Dotnet,Average project,James_Taylor,Middle,0.09,5,Bug,sample,1,0,AVG-089
Dotnet,Average project,Rafael_Welch,Middle,-0.08,5,Feature,sample,0,1,AVG-090
React,Average project,Joe_Cobb,Junior,0.07,5,Feature,sample,1,0,AVG-091
"DevOps,Postgres",Average project,Rafael_Welch,Middle,-0.06,5,Task,sample,1,0,AVG-092
React,Average project,Adam_Lucas,Senior,0.03,5,Bug,sample,0,1,AVG-093
React,Average project,Dale_Marshall,Junior,0.05,5,Feature,sample,0,1,AVG-094
React,Average project,Dale_Marshall,Junior,-0.09,5,Feature,sample,0,1,AVG-095
DevOps,Average project,Mark_Davis,Junior,-0.05,5,Task,sample,1,0,AVG-096
Dotnet,Average project,Adam_Lucas,Middle,-0.05,5,Bug,sample,0,1,AVG-097
"Dotnet,React",Average project,Mark_Davis,Senior,-0.03,5,Feature,sample,0,0,AVG-098
React,Average project,Dale_Marshall,Junior,-0.07,5,Feature,sample,1,0,AVG-099
DevOps,Average project,Adam_Lucas,Middle,-0.03,5,Bug,sample,0,1,AVG-0100
React,Average project,Dale_Marshall,Middle,0.08,5,Task,sample,1,0,AVG-0101
DevOps,Average project,Rafael_Welch,Middle,-0.1,5,Task,sample,0,0,AVG-0102
Dotnet,Average project,Joe_Cobb,Middle,0.07,5,Bug,sample,1,0,AVG-0103
React,Average project,Joe_Cobb,Middle,-0.01,5,Feature,sample,1,0,AVG-0104
DevOps,Average project,James_Taylor,Junior,0.03,5,Bug,sample,0,1,AVG-0105
React,Average project,Joe_Cobb,Middle,-0.04,5,Feature,sample,1,0,AVG-0106
React,Average project,Mark_Davis,Middle,-0.01,5,Feature,sample,1,0,AVG-0107
Dotnet,Average project,Joe_Cobb,Middle,-0.03,5,Feature,sample,0,1,AVG-0108
"DevOps,Postgres",Average project,Ron_Alexander,Junior,0,5,Feature,sample,1,0,AVG-0109
React,Average project,Joe_Cobb,Middle,-0.05,5,Task,sample,1,0,AVG-0110
React,Average project,Ron_Alexander,Junior,0.09,5,Feature,sample,0,0,AVG-0111
"DevOps,Postgres",Average project,Rafael_Welch,Junior,0,5,Feature,sample,0,0,AVG-0112
"Dotnet,Postgres",Average project,Ron_Alexander,Middle,-0.05,5,Bug,sample,1,0,AVG-0113
Dotnet,Average project,Adam_Lucas,Middle,-0.02,5,Bug,sample,0,1,AVG-0114
DevOps,Average project,Dale_Marshall,Junior,0.09,5,Feature,sample,1,0,AVG-0115
React,Average project,Adam_Lucas,Senior,-0.01,5,Bug,sample,0,0,AVG-0116
Dotnet,Average project,Rafael_Welch,Senior,-0.04,5,Feature,sample,1,0,AVG-0117
React,Average project,Adam_Lucas,Junior,-0.05,5,Feature,sample,1,0,AVG-0118
"Dotnet,Postgres",Average project,Adam_Lucas,Senior,0.02,5,Feature,sample,0,0,AVG-0119
React,Average project,James_Taylor,Senior,0.03,5,Task,sample,0,1,AVG-0120
Dotnet,Average project,James_Taylor,Junior,0.03,5,Feature,sample,1,0,AVG-0121
DevOps,Average project,Dale_Marshall,Junior,0.04,5,Bug,sample,0,0,AVG-0122
React,Average project,Dale_Marshall,Middle,-0.08,5,Bug,sample,0,1,AVG-0123
React,Average project,Adam_Lucas,Middle,-0.08,5,Feature,sample,1,0,AVG-0124
Dotnet,Average project,Ron_Alexander,Senior,0.05,5,Task,sample,1,0,AVG-0125
React,Average project,Ron_Alexander,Middle,-0.04,5,Bug,sample,0,0,AVG-0126
React,Average project,James_Taylor,Middle,-0.07,5,Task,sample,0,0,AVG-0127
DevOps,Average project,Rafael_Welch,Middle,-0.07,5,Task,sample,1,0,AVG-0128
React,Average project,Adam_Lucas,Senior,0.03,5,Feature,sample,1,0,AVG-0129
React,Average project,James_Taylor,Middle,0.03,5,Feature,sample,1,0,AVG-0130
"Dotnet,Postgres",Average project,James_Taylor,Middle,0.09,5,Feature,sample,0,0,AVG-0131
DevOps,Average project,Adam_Lucas,Middle,-0.08,5,Bug,sample,0,1,AVG-0132
React,Average project,Adam_Lucas,Middle,0.03,5,Feature,sample,0,1,AVG-0133
React,Average project,Dale_Marshall,Senior,0.03,5,Feature,sample,1,0,AVG-0134
"Dotnet,React",Average project,James_Taylor,Middle,0.05,5,Feature,sample,0,0,AVG-0135
React,Average project,Joe_Cobb,Middle,0.03,5,Feature,sample,0,0,AVG-0136
Dotnet,Average project,James_Taylor,Middle,0.04,5,Feature,sample,0,0,AVG-0137
"Dotnet,Postgres",Average project,Adam_Lucas,Middle,-0.1,5,Feature,sample,0,1,AVG-0138
Dotnet,Average project,Adam_Lucas,Middle,-0.03,5,Task,sample,0,0,AVG-0139
Dotnet,Average project,Dale_Marshall,Junior,-0.03,5,Task,sample,0,0,AVG-0140
React,Average project,James_Taylor,Middle,-0.06,5,Feature,sample,1,0,AVG-0141
React,Average project,Ron_Alexander,Junior,0.08,5,Bug,sample,0,1,AVG-0142
"DevOps,Postgres",Average project,Rafael_Welch,Middle,-0.05,5,Feature,sample,1,0,AVG-0143
React,Average project,Adam_Lucas,Middle,0.06,5,Bug,sample,0,1,AVG-0144
React,Average project,Joe_Cobb,Junior,0.07,5,Feature,sample,1,0,AVG-0145
Dotnet,Average project,Adam_Lucas,Middle,0.01,5,Task,sample,0,0,AVG-0146
React,Average project,Mark_Davis,Senior,-0.02,5,Task,sample,0,0,AVG-0147
React,Average project,Ron_Alexander,Middle,0.01,5,Bug,sample,1,0,AVG-0148
"Dotnet,Postgres",Average project,Dale_Marshall,Middle,-0.04,5,Feature,sample,0,1,AVG-0149
DevOps,Average project,Ron_Alexander,Middle,-0.05,5,Bug,sample,0,1,AVG-0150
"Dotnet,React",Average project,Adam_Lucas,Middle,-0.08,5,Bug,sample,1,0,AVG-0151
React,Average project,Ron_Alexander,Senior,-0.08,5,Task,sample,0,1,AVG-0152
React,Average project,James_Taylor,Middle,-0.08,5,Feature,sample,0,0,AVG-0153
DevOps,Average project,Ron_Alexander,Middle,0.03,5,Bug,sample,1,0,AVG-0154
React,Average project,Ron_Alexander,Senior,-0.09,5,Feature,sample,0,1,AVG-0155
React,Average project,Dale_Marshall,Middle,0.05,5,Task,sample,0,0,AVG-0156
React,Average project,Joe_Cobb,Junior,0.04,5,Feature,sample,0,0,AVG-0157
React,Average project,Mark_Davis,Middle,0.07,5,Feature,sample,1,0,AVG-0158
React,Average project,Dale_Marshall,Junior,-0.09,5,Feature,sample,0,1,AVG-0159
Dotnet,Average project,Adam_Lucas,Middle,0.06,5,Bug,sample,0,0,AVG-0160
React,Average project,James_Taylor,Middle,0.03,5,Feature,sample,0,0,AVG-0161
Dotnet,Average project,Ron_Alexander,Junior,0.03,5,Feature,sample,1,0,AVG-0162
React,Average project,Joe_Cobb,Middle,-0.08,5,Bug,sample,0,1,AVG-0163
"DevOps,Postgres",Average project,James_Taylor,Junior,0.09,5,Feature,sample,0,1,AVG-0164
"Dotnet,Postgres",Average project,James_Taylor,Junior,-0.02,5,Feature,sample,0,1,AVG-0165
Dotnet,Average project,Dale_Marshall,Junior,-0.06,5,Bug,sample,0,0,AVG-0166
"Dotnet,React",Average project,James_Taylor,Middle,0.07,5,Bug,sample,1,0,AVG-0167
React,Average project,Ron_Alexander,Middle,0.01,5,Task,sample,1,0,AVG-0168
"Dotnet,Postgres",Average project,Adam_Lucas,Senior,-0.08,5,Task,sample,0,1,AVG-0169
Dotnet,Average project,Adam_Lucas,Middle,-0.01,5,Feature,sample,1,0,AVG-0170
"Dotnet,Postgres",Average project,Adam_Lucas,Junior,-0.03,5,Bug,sample,0,1,AVG-0171
"DevOps,Postgres",Average project,Adam_Lucas,Junior,0.04,5,Bug,sample,0,1,AVG-0172
"DevOps,Postgres",Average project,Adam_Lucas,Middle,0,5,Task,sample,0,1,AVG-0173
"DevOps,Postgres",Average project,Joe_Cobb,Middle,0.03,5,Feature,sample,1,0,AVG-0174
"DevOps,Postgres",Average project,James_Taylor,Middle,-0.05,5,Feature,sample,1,0,AVG-0175
React,Average project,Adam_Lucas,Middle,0.06,5,Task,sample,0,0,AVG-0176
Dotnet,Average project,Mark_Davis,Middle,0,5,Bug,sample,0,0,AVG-0177
"Dotnet,Postgres",Average project,Ron_Alexander,Middle,0.09,5,Feature,sample,1,0,AVG-0178
Dotnet,Average project,Adam_Lucas,Middle,0.07,5,Task,sample,1,0,AVG-0179
Dotnet,Average project,Rafael_Welch,Junior,-0.07,5,Feature,sample,1,0,AVG-0180
React,Average project,Dale_Marshall,Middle,0.02,5,Bug,sample,0,0,AVG-0181
React,Average project,Adam_Lucas,Junior,-0.01,5,Task,sample,1,0,AVG-0182
React,Average project,Adam_Lucas,Middle,-0.07,5,Feature,sample,1,0,AVG-0183
Dotnet,Average project,Rafael_Welch,Middle,-0.02,5,Bug,sample,1,0,AVG-0184
"Dotnet,Postgres",Average project,James_Taylor,Junior,0.06,5,Feature,sample,1,0,AVG-0185
"Dotnet,React",Average project,Dale_Marshall,Middle,-0.03,5,Task,sample,1,0,AVG-0186
"Dotnet,React",Average project,Rafael_Welch,Middle,-0.01,5,Task,sample,1,0,AVG-0187
DevOps,Average project,Rafael_Welch,Junior,-0.03,5,Feature,sample,0,1,AVG-0188
React,Average project,Dale_Marshall,Middle,-0.1,5,Feature,sample,1,0,AVG-0189
"DevOps,Postgres",Average project,Joe_Cobb,Junior,-0.07,5,Feature,sample,0,0,AVG-0190
Dotnet,Average project,James_Taylor,Junior,-0.02,5,Feature,sample,0,1,AVG-0191
Dotnet,Average project,Dale_Marshall,Senior,-0.06,5,Feature,sample,0,1,AVG-0192
"DevOps,Postgres",Average project,Mark_Davis,Junior,0.09,5,Task,sample,1,0,AVG-0193
Dotnet,Average project,Rafael_Welch,Junior,-0.01,5,Feature,sample,1,0,AVG-0194
React,Average project,Ron_Alexander,Middle,-0.09,5,Task,sample,0,0,AVG-0195
DevOps,Average project,Ron_Alexander,Middle,0,5,Bug,sample,0,1,AVG-0196
"DevOps,Postgres",Average project,Dale_Marshall,Senior,0.02,5,Feature,sample,1,0,AVG-0197
Dotnet,Average project,Joe_Cobb,Middle,-0.1,5,Task,sample,1,0,AVG-0198
"DevOps,Postgres",Average project,Dale_Marshall,Junior,0,5,Bug,sample,1,0,AVG-0199
React,Average project,Ron_Alexander,Junior,-0.07,5,Feature,sample,1,0,AVG-0200
React,Average project,Dale_Marshall,Middle,0.03,4,Feature,sample,2,1,AVG-0201
DevOps,Average project,Adam_Lucas,Junior,0.15,4,Bug,sample,2,1,AVG-0202
"DevOps,Postgres",Average project,Ron_Alexander,Middle,0.14,4,Bug,sample,2,1,AVG-0203
React,Average project,Rafael_Welch,Senior,-0.1,4,Feature,sample,2,1,AVG-0204
"Dotnet,Postgres",Average project,Ron_Alexander,Senior,0.14,4,Task,sample,1,1,AVG-0205
Dotnet,Average project,Adam_Lucas,Junior,-0.06,4,Task,sample,2,1,AVG-0206
Dotnet,Average project,Mark_Davis,Junior,-0.1,4,Task,sample,1,1,AVG-0207
"Dotnet,React",Average project,Adam_Lucas,Junior,0.18,4,Task,sample,2,1,AVG-0208
React,Average project,Rafael_Welch,Junior,0.14,4,Bug,sample,0,2,AVG-0209
"Dotnet,React",Average project,Rafael_Welch,Senior,0.09,4,Bug,sample,0,1,AVG-0210
Dotnet,Average project,Ron_Alexander,Junior,0.07,4,Feature,sample,2,1,AVG-0211
React,Average project,Mark_Davis,Junior,0.15,4,Bug,sample,2,1,AVG-0212
"Dotnet,Postgres",Average project,James_Taylor,Middle,0.14,4,Feature,sample,2,1,AVG-0213
Dotnet,Average project,Mark_Davis,Middle,0.19,4,Feature,sample,2,1,AVG-0214
"Dotnet,Postgres",Average project,Rafael_Welch,Senior,-0.08,4,Task,sample,2,1,AVG-0215
Dotnet,Average project,Adam_Lucas,Senior,0.11,4,Task,sample,2,1,AVG-0216
DevOps,Average project,James_Taylor,Junior,0.11,4,Feature,sample,0,0,AVG-0217
React,Average project,James_Taylor,Junior,-0.07,4,Feature,sample,1,1,AVG-0218
Dotnet,Average project,Dale_Marshall,Senior,-0.09,4,Task,sample,1,1,AVG-0219
React,Average project,Dale_Marshall,Senior,0.16,4,Feature,sample,2,1,AVG-0220
React,Average project,Ron_Alexander,Middle,0.17,4,Bug,sample,2,1,AVG-0221
"Dotnet,React",Average project,Rafael_Welch,Middle,0.17,4,Bug,sample,1,1,AVG-0222
React,Average project,James_Taylor,Junior,0,4,Feature,sample,2,1,AVG-0223
React,Average project,Ron_Alexander,Senior,-0.05,4,Bug,sample,0,1,AVG-0224
Dotnet,Average project,Adam_Lucas,Middle,0.02,4,Bug,sample,1,1,AVG-0225
"DevOps,Postgres",Average project,Ron_Alexander,Junior,0.12,4,Feature,sample,2,1,AVG-0226
Dotnet,Average project,Mark_Davis,Middle,-0.04,4,Feature,sample,0,2,AVG-0227
React,Average project,Ron_Alexander,Middle,0.03,4,Bug,sample,2,1,AVG-0228
React,Average project,Ron_Alexander,Senior,-0.02,4,Bug,sample,1,1,AVG-0229
DevOps,Average project,Ron_Alexander,Junior,-0.01,4,Feature,sample,1,1,AVG-0230
React,Average project,Ron_Alexander,Junior,0.12,4,Task,sample,2,1,AVG-0231
Dotnet,Average project,Rafael_Welch,Senior,0.03,4,Feature,sample,1,1,AVG-0232
DevOps,Average project,Joe_Cobb,Junior,-0.1,4,Feature,sample,1,1,AVG-0233
React,Average project,Joe_Cobb,Senior,0.16,4,Feature,sample,1,1,AVG-0234
React,Average project,Dale_Marshall,Middle,0.01,4,Feature,sample,2,1,AVG-0235
React,Average project,Adam_Lucas,Middle,-0.04,4,Feature,sample,0,0,AVG-0236
Dotnet,Average project,Ron_Alexander,Middle,0.09,4,Bug,sample,0,0,AVG-0237
"Dotnet,Postgres",Average project,Rafael_Welch,Middle,0.01,4,Feature,sample,1,1,AVG-0238
"DevOps,Postgres",Average project,Rafael_Welch,Middle,-0.06,4,Bug,sample,0,2,AVG-0239
"DevOps,Postgres",Average project,Mark_Davis,Junior,0.11,4,Feature,sample,1,1,AVG-0240
DevOps,Average project,James_Taylor,Junior,-0.09,4,Feature,sample,2,1,AVG-0241
"Dotnet,Postgres",Average project,James_Taylor,Senior,0.19,4,Feature,sample,0,0,AVG-0242
React,Average project,James_Taylor,Middle,0.02,4,Feature,sample,2,1,AVG-0243
React,Average project,Joe_Cobb,Senior,0.11,4,Bug,sample,1,1,AVG-0244
Dotnet,Average project,Adam_Lucas,Middle,0.19,4,Feature,sample,2,1,AVG-0245
"Dotnet,Postgres",Average project,Mark_Davis,Middle,0.13,4,Bug,sample,2,1,AVG-0246
React,Average project,Joe_Cobb,Middle,0.11,4,Bug,sample,2,1,AVG-0247
Dotnet,Average project,Ron_Alexander,Middle,-0.03,4,Bug,sample,2,1,AVG-0248
Dotnet,Average project,Joe_Cobb,Middle,0.01,4,Bug,sample,2,1,AVG-0249
DevOps,Average project,James_Taylor,Middle,0.12,4,Feature,sample,1,1,AVG-0250
React,Average project,Joe_Cobb,Junior,-0.05,4,Task,sample,1,1,AVG-0251
"Dotnet,Postgres",Average project,Rafael_Welch,Middle,0.18,4,Feature,sample,1,1,AVG-0252
Dotnet,Average project,Mark_Davis,Middle,-0.07,4,Feature,sample,1,1,AVG-0253
React,Average project,Dale_Marshall,Junior,0.06,4,Task,sample,2,1,AVG-0254
React,Average project,Joe_Cobb,Middle,-0.04,4,Bug,sample,0,1,AVG-0255
DevOps,Average project,Ron_Alexander,Middle,0.07,4,Bug,sample,0,1,AVG-0256
React,Average project,Mark_Davis,Senior,0.15,4,Feature,sample,0,0,AVG-0257
Dotnet,Average project,Adam_Lucas,Middle,0.16,4,Task,sample,1,1,AVG-0258
Dotnet,Average project,Rafael_Welch,Junior,0.11,4,Feature,sample,2,1,AVG-0259
Dotnet,Average project,Adam_Lucas,Middle,0.04,4,Feature,sample,0,1,AVG-0260
"Dotnet,React",Average project,Adam_Lucas,Senior,0.05,4,Feature,sample,2,1,AVG-0261
"Dotnet,React",Average project,Rafael_Welch,Middle,0.14,4,Feature,sample,1,1,AVG-0262
"Dotnet,React",Average project,Mark_Davis,Middle,0.02,4,Task,sample,2,1,AVG-0263
React,Average project,Adam_Lucas,Middle,-0.03,4,Bug,sample,0,2,AVG-0264
"Dotnet,React",Average project,Mark_Davis,Junior,0,4,Bug,sample,0,2,AVG-0265
Dotnet,Average project,Joe_Cobb,Middle,-0.05,4,Feature,sample,2,1,AVG-0266
DevOps,Average project,Joe_Cobb,Middle,0.13,4,Bug,sample,1,1,AVG-0267
"Dotnet,Postgres",Average project,Mark_Davis,Middle,-0.03,4,Task,sample,0,0,AVG-0268
"DevOps,Postgres",Average project,Rafael_Welch,Junior,0.16,4,Bug,sample,0,2,AVG-0269
Dotnet,Average project,Mark_Davis,Middle,0.16,4,Feature,sample,1,1,AVG-0270
DevOps,Average project,Dale_Marshall,Middle,0.19,4,Bug,sample,1,1,AVG-0271
React,Average project,James_Taylor,Middle,0.08,4,Bug,sample,2,1,AVG-0272
Dotnet,Average project,Dale_Marshall,Senior,0.01,4,Feature,sample,1,1,AVG-0273
Dotnet,Average project,Joe_Cobb,Middle,0.07,4,Feature,sample,1,1,AVG-0274
DevOps,Average project,Dale_Marshall,Middle,-0.07,4,Feature,sample,0,0,AVG-0275
Dotnet,Average project,James_Taylor,Middle,0.08,4,Feature,sample,0,2,AVG-0276
"Dotnet,Postgres",Average project,Adam_Lucas,Middle,0.08,4,Bug,sample,0,2,AVG-0277
React,Average project,Joe_Cobb,Middle,-0.03,4,Feature,sample,1,1,AVG-0278
"Dotnet,Postgres",Average project,Dale_Marshall,Middle,0.08,4,Bug,sample,1,1,AVG-0279
Dotnet,Average project,Rafael_Welch,Junior,0.06,4,Task,sample,2,1,AVG-0280
DevOps,Average project,Mark_Davis,Junior,-0.04,4,Task,sample,1,1,AVG-0281
Dotnet,Average project,Rafael_Welch,Middle,0.13,4,Bug,sample,1,1,AVG-0282
"Dotnet,React",Average project,Mark_Davis,Middle,-0.05,4,Bug,sample,2,1,AVG-0283
React,Average project,Ron_Alexander,Middle,0.05,4,Task,sample,1,1,AVG-0284
"DevOps,Postgres",Average project,Joe_Cobb,Middle,0.11,4,Bug,sample,2,1,AVG-0285
Dotnet,Average project,Adam_Lucas,Middle,0.1,4,Feature,sample,1,1,AVG-0286
"Dotnet,Postgres",Average project,James_Taylor,Senior,0.11,4,Bug,sample,2,1,AVG-0287
Dotnet,Average project,Dale_Marshall,Junior,-0.04,4,Feature,sample,2,1,AVG-0288
DevOps,Average project,James_Taylor,Middle,0.16,4,Feature,sample,0,0,AVG-0289
Dotnet,Average project,James_Taylor,Middle,0.18,4,Feature,sample,0,1,AVG-0290
Dotnet,Average project,Ron_Alexander,Middle,-0.06,4,Feature,sample,1,1,AVG-0291
"Dotnet,Postgres",Average project,Ron_Alexander,Middle,0.13,4,Feature,sample,2,1,AVG-0292
DevOps,Average project,Mark_Davis,Middle,0.11,4,Feature,sample,1,1,AVG-0293
Dotnet,Average project,Dale_Marshall,Junior,-0.1,4,Feature,sample,1,1,AVG-0294
"Dotnet,Postgres",Average project,Mark_Davis,Senior,0.08,4,Bug,sample,0,2,AVG-0295
Dotnet,Average project,James_Taylor,Middle,-0.03,4,Bug,sample,2,1,AVG-0296
Dotnet,Average project,Dale_Marshall,Junior,0.1,4,Feature,sample,2,1,AVG-0297
"Dotnet,Postgres",Average project,Adam_Lucas,Senior,0.16,4,Bug,sample,2,1,AVG-0298
